"Opportunity Owner","Account Name","Opportunity Name","Stage","Close Date","Created Date","Business Portfolio","Opportunity Type","Type","Business Type","Etimad Type","Opportunity Number","Total Contract Value (TCV)","Customer Submission Date"
"Sultan Alzahrani","Saudi Telecommunications Company-STC Group-EBU","CEX Voice of customer project 2026-2027","7-Handover Completed","25/03/2026","14/10/2025","STC & Sub","RFP","Sell Direct","CLM","Non Etimad","SF-2025-1045","1400000","21/10/2025"
"Sultan Alzahrani","Saudi Telecommunications Company-STC Group-EBU","EBU Collection Project 2026-2027","7-Handover Completed","09/03/2026","14/10/2025","STC & Sub","RFP","Sell Direct","CLM","Non Etimad","SF-2025-1046","15000000","31/12/2025"
"Ali Bin Zeair","Saudi Telecommunications Company-STC Group-EBU","Wholesale","7-Handover Completed","03/06/2026","15/10/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1048","5000000","22/10/2025"
"Raed Hammad","Devoteam Company Saudi Limited","CV to be Hired for NHSC","6-Cancelled","19/08/2026","15/10/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1052","504758","22/10/2025"
"Bayan AlOlayan","Modern Building Leaders","MPO for MLB","6-Lost","13/04/2026","16/10/2025","Sales & BD 2","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1053","1256645","26/10/2025"
"Raed Hammad","Devoteam Company Saudi Limited","NHSC hiring","6-Cancelled","19/08/2026","19/10/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1064","300000","19/10/2025"
"Bayan AlOlayan","Real Estate General Authority","REGA FM -","6-Lost","13/04/2026","20/10/2025","Sales & BD 2","RFP","Sell Direct","Facility Management","Etimad","SF-2025-1071","28414781","20/11/2025"
"Rawan AlMusayid","The National Unified Procurement Company","RFP - 1000076 - Wasfaty Call Center","6-Lost","02/02/2026","20/10/2025","Sales & BD 1","RFP","Sell Direct","CLM","Non Etimad","SF-2025-1074","0","06/11/2025"
"Khalid AlEnezi","Ministry of Foreign Affairs","Unified contact center","6-Lost","19/01/2026","20/10/2025","Sales & BD 1","RFP","Sell Direct","CLM","Non Etimad","SF-2025-1075","69699981","27/10/2025"
"Majid Al-Faifi","Higher Commission for Industrial Security","CR - Developing, Managing, and Operating the comperhensive platform of the supreme authority for MOI-IS","6-Dropped","04/05/2026","21/10/2025","Sales & BD 2","RFQ","Sell Through solutions","CLM","Non Etimad","SF-2025-1077","166455","28/10/2025"
"Bayan AlOlayan","SDAIA - National Information Center","Central System for Monitoring Systems and Networks ? Phase III","6-Dropped","04/05/2026","21/10/2025","Sales & BD 2","RFQ","Sell Through solutions","MPO","Etimad","SF-2025-1079","5115090","28/10/2025"
"Mohammad Alajlan","Saudi Telecommunications Company-STC Group-EBU","Project code 1355 \ Consultant proposal","4-Submitted - Under Evaluation","24/09/2026","21/10/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1080","565386","28/10/2025"
"Raed Hammad","Solutions by stc","34330-1245 - remining amount","6-Cancelled","19/08/2026","21/10/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1082","218192","07/12/2025"
"Majid Al-Faifi","SDAIA - National Information Center","SDAIA Future Program Training","6-Dropped","13/04/2026","21/10/2025","Sales & BD 2","RFP","Sell Direct","HRO","Etimad","SF-2025-1083","9194127","12/11/2025"
"Majid Al-Faifi","Al Elm Company","AlAula Call Center Project","6-Dropped","04/05/2026","21/10/2025","Sales & BD 2","RFQ","Sell Direct","CLM","Non Etimad","SF-2025-1085","7500000","06/11/2025"
"Ziyad Aldriwish","Riyadh Airport Company","MPO - 1 employee OP-2025-159237 - Riyadh Air Port","6-Cancelled","08/02/2026","22/10/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1086","431902","30/10/2025"
"Bayan AlOlayan","Ministry of Human Resources & Social Development HRSD","MEP - Human Resources and Social Assistance","4-Submitted - Under Evaluation","24/12/2026","22/10/2025","Sales & BD 2","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1088","9008660","29/10/2025"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","MOD Mega Project - Facility","6-Dropped","07/04/2026","22/10/2025","Sales & BD 1","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2025-1093","69980000","23/10/2025"
"Rawan AlMusayid","Saudi Aramco","STCSQR-21825","6-Dropped","08/02/2026","23/10/2025","Sales & BD 1","RFQ","Sell Through solutions","Facility Management","Non Etimad","SF-2025-1096","1217829","12/11/2025"
"Majid Al-Faifi","Ministry of Interior - Headquarters","MOI-Maintenance and Technical Support for Security and Technical Systems in Private Sites","6-Dropped","04/05/2026","23/10/2025","Sales & BD 2","RFQ","Sell Through solutions","HRO","Etimad","SF-2025-1097","1399804","03/11/2025"
"Rawan AlMusayid","Ministry of Investment","Hiring 1 Resource","4-Submitted - Under Evaluation","30/09/2026","23/10/2025","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1099","126703","30/10/2025"
"Bayan AlOlayan","Medina Municipality","6 resource from Madarat","4-Submitted - Under Evaluation","29/10/2026","26/10/2025","Sales & BD 2","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1102","2214712","30/10/2025"
"Khalid AlEnezi","Ministry of Foreign Affairs","A unified platform for all services provided by MOFA","6-Dropped","13/04/2026","26/10/2025","Sales & BD 1","RFQ","Sell Through solutions","SCM","Non Etimad","SF-2025-1103","1000000","30/10/2025"
"Ali Bin Zeair","Saudi Telecommunications Company-STC Group-EBU","Captive Centers \ Operating Model and Consultation","4-Submitted - Under Evaluation","30/11/2026","27/10/2025","STC & Sub","RFQ","Sell Direct","F&A","Non Etimad","SF-2025-1105","4824064","31/10/2025"
"Abdullah Alfawaz","Ministry of Culture","Feasibility study for establishing a commercial company affiliated with the Museums Commission - 10008645","4-Submitted - Under Evaluation","24/12/2026","27/10/2025","Sales & BD 2","RFP","Sell Direct","F&A","Non Etimad","SF-2025-1108","4697147","10/11/2025"
"Fajer Alsalloum","Diriyah Gate Development Authority","1 Resource","6-Cancelled","18/06/2026","27/10/2025","Giga","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1110","43424","05/11/2025"
"Ziyad Aldriwish","Saudi Ports Authority","Mawani Contact Center","7-Handover Completed","13/05/2026","28/10/2025","Sales & BD 1","RFP","Sell Direct","CLM","Etimad","SF-2025-1113","4086957","25/11/2025"
"Rawan AlMusayid","Small and Medium Enterprises General Authority","Operation of Monsha?at Customer Contact Center","6-Dropped","28/04/2026","29/10/2025","Sales & BD 2","RFP","Sell Direct","CLM","Non Etimad","SF-2025-1115","18993852","27/11/2025"
"Mohammad Alajlan","Saudi Telecommunications Company-STC Group-EBU","Renewal project 1400","4-Submitted - Under Evaluation","30/09/2026","29/10/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1116","622289","04/11/2025"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","COE Building MOD","3-Qualified In Progress","30/11/2026","29/10/2025","Sales & BD 1","RFQ","Sell Through solutions","Facility Management","Non Etimad","SF-2025-1118","16111767","29/10/2025"
"Mohammad Alajlan","Solutions by stc","Project increase 1289","6-Won","21/09/2026","30/10/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1119","723922","06/09/2025"
"Rawan AlMusayid","SAUDI GROUND SERVICES","Cybersecurity Consultant","7-Handover Completed","12/01/2026","02/11/2025","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1122","654682","06/11/2025"
"Rawan AlMusayid","SAUDI ELECTRICAL COMPANY","STCSQR-21753","6-Dropped","08/02/2026","02/11/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1123","142862","06/11/2025"
"Rawan AlMusayid","SAUDI GROUND SERVICES","SGS-MPOs","6-Cancelled","16/02/2026","02/11/2025","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1124","1099153","09/11/2025"
"Rawan AlMusayid","Principal Buyer Oil and Gas","RFP - Outsourcing of Qualified Human Resources","7-Handover Completed","02/02/2026","02/11/2025","Sales & BD 1","RFP","Sell Direct","MPO","Non Etimad","SF-2025-1125","0","11/11/2025"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","Event Management MOD","4-Submitted - Under Evaluation","17/12/2026","02/11/2025","Sales & BD 1","RFQ","Sell Through solutions","SCM","Non Etimad","SF-2025-1126","3402729","06/11/2025"
"Bayan AlOlayan","Jeddah Municipality","Jeddah Scrap Yard HSSE Services","6-Dropped","13/04/2026","02/11/2025","Sales & BD 2","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2025-1128","2820000","06/11/2025"
"Raed Hammad","Aqalat limited Company","Professional real estate appraiser position","6-Dropped","17/02/2026","02/11/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1132","362805","09/11/2025"
"Khalid AlEnezi","Rackspace Arabia for Information Technology","Supply Chain Managed Services for P-Cloud Services","6-Dropped","20/08/2026","05/11/2025","Sales & BD 2","RFQ","Sell Direct","SCM","Non Etimad","SF-2025-1140","2000000","01/03/2026"
"Fajer Alsalloum","National Water Company","NWC - Innovation LAB","7-Handover Completed","29/06/2026","05/11/2025","Sales & BD 1","RFQ","Sell Through solutions","Facility Management","Non Etimad","SF-2025-1142","6900000","13/11/2025"
"Rawan AlMusayid","Ministry of Investment","CR 1","6-Cancelled","27/08/2026","06/11/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1145","36801","13/11/2025"
"Raed Hammad","iotsquered","games competition for iot employees","6-Cancelled","19/08/2026","06/11/2025","STC & Sub","RFQ","Sell Direct","Event Management","Non Etimad","SF-2025-1146","10957","06/11/2025"
"Rawan AlMusayid","Al-Taknia company","internal employees to move to new vendor","7-Handover Completed","07/01/2026","06/11/2025","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1147","2011198","16/11/2025"
"Rawan AlMusayid","Ministry of Investment","CR 2","6-Cancelled","27/08/2026","06/11/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1148","411928","20/11/2025"
"Rawan AlMusayid","National Water Company","Contact Center and Supporting the Complaints Management Department","6-Lost","03/03/2026","09/11/2025","Sales & BD 1","RFP","Sell Direct","SCM","Non Etimad","SF-2025-1151","7768843","25/11/2025"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","MOD- HRO WO Request","6-Dropped","10/02/2026","09/11/2025","Sales & BD 1","RFQ","Sell Through solutions","HRO","Non Etimad","SF-2025-1152","1000000","12/11/2025"
"Sultan Alzahrani","Saudi Telecommunications Company-STC Group-EBU","Consumer Insights Survey Project 2026-2027 - 2028","7-Handover Completed","09/03/2026","09/11/2025","STC & Sub","RFP","Sell Direct","CLM","Non Etimad","SF-2025-1155","3133142","28/02/2026"
"Bayan AlOlayan","Development Authority Support Office","Procurement, Contracts, Finance, and Budget Empowerment Project","7-Handover Completed","14/01/2026","09/11/2025","Sales & BD 2","RFP","Sell Direct","F&A","Non Etimad","SF-2025-1156","8695300","07/12/2025"
"Mohammed Rashed","National Center For Government Resources System","NCGR Digital Factory requirements - Event","7-Handover Completed","04/02/2026","10/11/2025","Sales & BD 2","RFQ","Sell Through solutions","Event Management","Non Etimad","SF-2025-1160","348034","17/11/2025"
"Abdullah Alfawaz","Ministry of Culture","Writers' Incubator Project - 10007912","4-Submitted - Under Evaluation","24/12/2026","10/11/2025","Sales & BD 2","RFP","Sell Direct","Facility Management","Non Etimad","SF-2025-1161","21448251","18/11/2025"
"Bayan AlOlayan","Remat Al-Riyadh Development Company","New Contact Center for Riyadh Parking","6-Lost","19/08/2026","10/11/2025","Sales & BD 2","RFI","Sell Direct","CLM","Non Etimad","SF-2025-1162","2466479","12/12/2025"
"Fajer Alsalloum","Shared Services Program","MPO for Support and Operation","6-Cancelled","08/02/2026","10/11/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1163","247689","13/11/2025"
"Rawan AlMusayid","National Water Company","Communication with NWC customers through anonymous calls","6-Dropped","03/02/2026","11/11/2025","Sales & BD 1","RFP","Sell Direct","CLM","Non Etimad","SF-2025-1167","0","24/11/2025"
"Raed Hammad","Devoteam Company Saudi Limited","2 Saudi Female Project Coordinators","6-Cancelled","19/08/2026","11/11/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1170","366346","20/11/2025"
"Khalid AlEnezi","Ministry of National Guard","Management Development Ministry of National Guard","6-Dropped","13/04/2026","12/11/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1173","791263","13/11/2025"
"Fajer Alsalloum","King Salman Park Foundation","KSP Unified CLM 2026","6-Cancelled","08/02/2026","12/11/2025","Giga","RFI","Sell Direct","CLM","Non Etimad","SF-2025-1174","1382380","20/11/2025"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","Training Services Framework Agreement MOD","4-Submitted - Under Evaluation","30/11/2026","12/11/2025","Sales & BD 1","RFQ","Sell Through solutions","HRO","Etimad","SF-2025-1175","0","28/12/2025"
"Khalid AlEnezi","Ministry of Human Resources & Social Development HRSD","Operation of the Family Protection and Child Protection Hotline 1919","7-Handover Completed","29/03/2026","12/11/2025","Sales & BD 2","RFP","Sell Direct","CLM","Etimad","SF-2025-1177","52046340","23/11/2025"
"Ali Bin Zeair","Jafeer Technologies","Jafeer cars","6-Lost","01/07/2026","13/11/2025","STC & Sub","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2025-1179","100000","18/11/2025"
"Ziyad Aldriwish","Bahri","PMO Resources","6-Cancelled","08/02/2026","13/11/2025","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1180","2065939","23/11/2025"
"Fajer Alsalloum","Royal Comission of Al Ula","Media Monitoring and Data Analytics","6-Lost","28/08/2026","13/11/2025","Giga","RFP","Sell Direct","SCM","Non Etimad","SF-2025-1181","1500000","18/12/2025"
"Ali Bin Zeair","Solutions by stc","Store 3 in Akaria","7-Handover Completed","28/04/2026","16/11/2025","STC & Sub","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2025-1182","160071","20/11/2025"
"Ali Bin Zeair","Solutions by stc","Invoice ? Gitex Proposal","7-Handover Completed","13/04/2026","16/11/2025","STC & Sub","RFQ","Sell Direct","Event Management","Non Etimad","SF-2025-1185","72850","19/01/2026"
"Rawan AlMusayid","Saudi Aramco","Saudi Aramco - High Computing Storage","6-Cancelled","02/03/2026","16/11/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1186","3829288","24/11/2025"
"Mohammad Alajlan","Solutions by stc","renewal project 1407","4-Submitted - Under Evaluation","30/09/2026","16/11/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1187","350041","23/11/2025"
"Mohammed Rashed","Saudi Esports Federation","HC Services (Non-Saudi Manpower)","7-Handover Completed","23/02/2026","16/11/2025","Sales & BD 2","RFP","Sell Direct","MPO","Non Etimad","SF-2025-1189","5304348","26/11/2025"
"Majid Al-Faifi","Al Elm Company","FA for Call Center Services and Operation of the Inquiry Unit ? ELM Doc228528987","6-Dropped","04/05/2026","16/11/2025","Sales & BD 2","RFQ","Sell Direct","CLM","Non Etimad","SF-2025-1190","0","13/01/2026"
"Ziyad Aldriwish","Ministry of Transportation","IT - Managed Services","6-Lost","08/02/2026","16/11/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1191","4276659","30/11/2025"
"Bayan AlOlayan","National Real Estate Registration Service Company","RER Abrus Users","7-Handover Completed","17/03/2026","17/11/2025","Sales & BD 2","RFQ","Sell Direct","CLM","Non Etimad","SF-2025-1195","140000","27/11/2025"
"Abdullah Alfawaz","Imam University","STCSQR-21544 - Imam Abdulrahman","4-Submitted - Under Evaluation","24/12/2026","17/11/2025","Sales & BD 2","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1196","289926","27/11/2025"
"Abdullah Alfawaz","Imam University","STCSQR-21545 - Imam Abdulrahman","4-Submitted - Under Evaluation","24/12/2026","17/11/2025","Sales & BD 2","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1197","305821","24/11/2025"
"Rawan AlMusayid","Project T","Position prices WO2","1-Identified","30/11/2026","18/11/2025","Giga","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1199","1500000","30/06/2026"
"Rawan AlMusayid","Project T","Position prices WO3","1-Identified","30/11/2026","18/11/2025","Giga","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1200","1500000","30/09/2026"
"Rawan AlMusayid","Project T","Position prices WO4","1-Identified","01/12/2026","18/11/2025","Giga","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1201","1500000","01/12/2026"
"Khalid AlEnezi","Sofon Naval Company","IT Hardware supply","6-Lost","26/04/2026","18/11/2025","Sales & BD 1","RFQ","Sell Direct","SCM","Non Etimad","SF-2025-1202","2734564","25/11/2025"
"Khalid AlEnezi","General Authority for Military Industries","Framework Agreement for Event Management - GAMI","6-Lost","01/02/2026","18/11/2025","Sales & BD 1","RFP","Sell Direct","Event Management","Etimad","SF-2025-1204","0","29/11/2025"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","STC HRO 2026 Q2","7-Handover Completed","05/04/2026","18/11/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1205","100000000","18/11/2025"
